review,별점
그냥 잘 모르겠다.. 난해하고 복잡한 영화인 것 같은데 눈물이 계속 나온다,10
이해가 안가는 부분이 꽤 있지만 여운 남는 영화였어요,6
"솔직히 이건 아니다!! 개봉관 잡는것도 신기하고, 네임벨루로 승부거는거말고는 답이 없다의욕넘치는 소규모독립영화가 백배낫다",2
좀 아쉬워요 감동도 재미도 살짝 부족한 느낌,6
쏘쏘 딱 팝콘 무비ㅋㅋ,10
이게 뭐지.... 내용이 없네요,4
진짜 잘 봤습니다. 너무 감동입니다. 지루한 순간도 없이 전개도 빠르고 배우들 연기도 만점 드리고 싶습니다. 스토리가 사기예요. 너무 재밌습니다. 웃기도 했고 울기도 엄청 울었네요. 영화관에서 n차 뛸 걸 후회됩니다. 나라 되찾으면 저는 뭘 할까요?,10
넘나 웃긴데요.아무 생각없이 편안히 볼수있는  영화~~,10
.,10
신고,3
오랫만에 본 아주 좋은 영화,10
잘봤습니다,7
재밌었다에~ 한표~ 여긴 분위기가 10점 아님 1점이네요ㅋㅋ,10
아니 이게왜? 이평점이지?ㄷㄷ나름 스토리탄탄하고 반전도좀있고새로운방식의 공포물 느낌인데ㄷㄷ,10
신고,10
스토리도 단순하고 개연성도 없는데 중간 중간에 개그맨들 나와서 억지 웃음 주고. 개콘 꽁트가 영화 중간중간 섞이는 것 같은 느낌.박성웅의 액션은 볼만했어요.,1
박성광 진짜 진심이었네?,10
영화 속 풍경이 너무 예뻐서 보는 재미가 있었고 ost도 좋았어요!! 특히 메인ost가 좋아요ㅎㅎ 스토리는 조금은 유치한...느낌이 있었지만ㅎㅎ 유치하다고 지루한건 아녔고 전 재밌게 봤어용,9
아쉬워요.. 러닝타임 좀만 줄였으면,6
참여한 배우가 이렇게 많은데 연출이 이정도면 제작사에서 돈이 좀 남아서 찍은 영화인지 의심스러움 왜 만들었을까?,4
1보단 아쉽지만 잘봤습니다,8
원작도 개연성이 별로였는데 한국 영화로 봐도 여전히 아쉽네요,6
"골반 아직 건재합니다,,,  허허",6
염혜란 연기 믿고 봤습니다 영화자체는 쏘쏘,10
신고,10
ost가 너무 좋아서 계속 듣고싶어짐내용도 재미있음근데 이모가 조금 불쌍한듯,10
"중간중간 애드립과 말장난 대사가 재밌었고 킬링타임으로 재밌게 봤습니다 ㅋㅋ 찰지네요다들 연기력이 대단해요 역시약간 풍자 블랙코미디 같기도하고, 속도감이 빨라서 안지루하고 좋네요",8
너무 좋아요. 오스카에서 상 받았다는 사실만 알고 아무것도 모르고 봤는데 재밌었어요.재미와 감동을 한번에 잡고 귀가길에 생각할 거리도 만들어주는 촤고의 영화,10
배우들의 물 흐르듯 자연스러운 연기와 환상적인 케미를 보며 이 사람들 실제로 같은 학교 연영과 출신이 아닐까 궁금증이 생겼다. 그렇지 않고서야 어떻게 이런 연기가 나올 수 있나 싶었다. 이 작품은 스크린 건너편의 배우들을 그저 막연히 응시하는 느낌이 아니라 그들과 뒤섞여 술 한잔을 나누는 것 같은 아주 리얼한 착각에 빠지게 만든다. 남원과 남해를 잇는 주인공들의 낭만적인 여정을 함께 하다보면 어느새 생각나는 존재들이 있으니... 바로 옛 친구들이다. 음악감독이자 배우인 현진영씨의 모습을 볼 수 있는 것 또한 색다른 재미이다.,10
난 재밌었다의 한표~,10
아주 눈이 즐겁습니다,10
악마를 보았다.악마를 보았다.,10
환상적인 쇼팽의 음악여행,8
잘 못보던 코믹스릴러~ 먼데 영화가 아니라 옆집영화 같아 좋았다,10
오랜만에 보는 일본영화였는데 나쁘지않았네요. 좋았어요.,10
나쁘지 않은데?,10
재밌긴한데.. 초반부 신음소리 뭡니까... 중학생 딸이랑 둘이서 보러 갔는데 뻘쭘했네요;;,10
신고,6
배우들 의리로 나와준거 같은데 영화 수준이 참...이런 영화가 재밌다고 해주시면 안됩니다 다들 ㅋㅋㅋ,2
신고,4
감상포인트가 하나도 없는 영화그냥 관객이 쉽게 생각 되었나그러기에는 요즘 극장표값을 생각 좀하고 만들지,1
보고서도 어떤 감흥이 없구나,1
보다가 친구랑 울었다 무슨 애니가 이러냐 미쳤다,10
인스타 보고 이이경 진짜 유튜버 된 줄~ 영화에서 역할이 유튜버였구만,10
하 OO 진짜 마음 찢어진다.. 애드워드 불쌍해죽겠네 진짜,8
"느리고, 모호하며 아득한 연출이 인상적이다",6
스토리는 좀 약합니다... 하지만 등장인물이 빵빵해서 만족스럽네요,10
스토리는 조금 엉성 했지만 역시나 애니는 일본이구나 하는 생각이드네. 너의이름은부터 시작해서 슬램덩크 그리고 스즈메까지 애니를 영화관에서 보는게 익숙해졌네요. 지브리같은 좋은 야니 많이 만들어주세요~,9
"너의이름은 보다는 못하고 날씨의아이 보다는 나아요 ㅋㅋㅋ 쟤가 왜저러나, 이럴거면 뭐하러 그랬나 싶은 장면들이 있는것은 사실입니다. 그래도 시간과 돈을 투자한게 아까울 정도는 절대 아니에요. 대체로 만족스럽습니다",10
영상미 말고는 별로…Ost가 엄청 좋지도 않고.(두번째 만남을 가지며 치맥도 하고 집앞에 앉아서 뽀뽀도 하던 날에),7
1점은 아닌거 같은데? 보신거 맞죠? 7점주려다 10점 누릅니다,10
"""주인공들이 왜 겁먹은 척을 하느냐 반전을 위한 억지 억지 연출이다"" 라고 하신 분들이 있던데요영화를 처음부터 다시 보니까, 범인인게 들킬까봐 겁먹은 거였음ㅋㅋ고로 연출에는 문제없고 기만도 아니다.범죄자를 범죄자가 아닌 피해자라고 생각하니까 말과 행동이 그렇게 보이는거임나도 일상속에서 누군가를 색안경 끼고 보는 것은 아닐까 반성하게 됨",8
거짓말이아니구 지루해염…,2
캐비어 녹용 등 산해진미로 만든 자갈치 과자그 잡채,1
신고,10
그냥 보지 않는 걸 추천드립니다 ott에 풀리면 보시거나 명절 특선 영화로 나오면 보세요 웃음 장벽 낮은 사람도 안 웃을 수 있는 영화는 오랜만이네요,1
